t=0.00 | PRED=0 | p=0.91
t=0.10 | PRED=0 | p=0.90
t=0.20 | PRED=0 | p=0.95
t=0.30 | PRED=0 | p=0.95
t=0.40 | PRED=0 | p=0.90
t=0.50 | PRED=0 | p=0.96
t=0.60 | PRED=0 | p=0.91
t=0.70 | PRED=0 | p=0.91
t=0.80 | PRED=0 | p=0.90
t=0.90 | PRED=0 | p=0.93
t=1.00 | PRED=0 | p=0.95
t=1.10 | PRED=0 | p=0.93
t=1.20 | PRED=0 | p=0.94
t=1.30 | PRED=0 | p=0.95
t=1.40 | PRED=0 | p=0.97
t=1.50 | PRED=0 | p=0.98
t=1.60 | PRED=0 | p=0.95
t=1.70 | PRED=0 | p=0.92
t=1.80 | PRED=0 | p=0.94
t=1.90 | PRED=0 | p=0.94
t=2.00 | PRED=0 | p=0.91
t=2.10 | PRED=0 | p=0.96
t=2.20 | PRED=0 | p=0.93
t=2.30 | PRED=0 | p=0.94
t=2.40 | PRED=0 | p=0.98
t=2.50 | PRED=0 | p=0.90
t=2.60 | PRED=0 | p=0.96
t=2.70 | PRED=0 | p=0.96
t=2.80 | PRED=0 | p=0.91
t=2.90 | PRED=0 | p=0.97
t=3.00 | PRED=0 | p=0.97
t=3.10 | PRED=0 | p=0.91
t=3.20 | PRED=0 | p=0.92
t=3.30 | PRED=0 | p=0.95
t=3.40 | PRED=0 | p=0.91
t=3.50 | PRED=0 | p=0.92
t=3.60 | PRED=0 | p=0.94
t=3.70 | PRED=0 | p=0.98
t=3.80 | PRED=0 | p=0.91
t=3.90 | PRED=0 | p=0.97
t=4.00 | PRED=0 | p=0.98
t=4.10 | PRED=0 | p=0.91
t=4.20 | PRED=0 | p=0.96
t=4.30 | PRED=0 | p=0.95
t=4.40 | PRED=0 | p=0.90
t=4.50 | PRED=0 | p=0.91
t=4.60 | PRED=0 | p=0.97
t=4.70 | PRED=0 | p=0.92
t=4.80 | PRED=0 | p=0.94
t=4.90 | PRED=0 | p=0.94
t=5.00 | PRED=0 | p=0.98
t=5.10 | PRED=0 | p=0.98
t=5.20 | PRED=0 | p=0.91
t=5.30 | PRED=0 | p=0.90
